Player,Team,Affiliation,Year,"Round
 Number","Round
 Pick","Overall
 Pick"
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ron Kennedy <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Kansas City-Omaha Kings",Arizona,1974,6,6,96
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Frank Stronczek <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",American International,1967,6,7,62
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tony Turner <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Alaska-Anchorage,1980,6,1,116
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tracy Foster <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Alabama-Birmingham,1987,6,17,131
"<!----><a ng-href=""/stats/player/78162/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/78162/""> Mckinley Singleton <!----> <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Alabama-Birmingham,1984,6,4,120
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Cliff Pruitt <!---->","<a ng-href=""/stats/team/1610612754/"" href=""/stats/team/1610612754/"">Indiana Pacers",Alabama-Birmingham,1983,6,2,118
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Lawrence Lilly <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Alabama State,1973,6,14,100
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bobby Lee Hurt <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Golden State Warriors",Alabama,1986,6,5,121
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Marcel Boyce <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Akron,1987,6,8,122
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ed Kemp <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Adams State,1971,6,17,102
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Willie Calvert <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Abilene Christian,1973,6,5,91
"<!----><a ng-href=""/stats/player/78590/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/78590/""> Tony Windis <!----> <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Wyoming,1959,5,2,32
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Gary Monroe <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Wright State,1983,5,15,108
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Rich DiBenedetto <!---->","<a ng-href=""/stats/team/1610612754/"" href=""/stats/team/1610612754/"">Indiana Pacers",Wisconsin-Eau Claire,1982,5,8,100
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Gib Hinz <!---->","<a ng-href=""/stats/team/1610612759/"" href=""/stats/team/1610612759/"">San Antonio Spurs",Wisconsin-Eau Claire,1980,5,15,107
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Joe Franklin <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Wisconsin,1968,5,13,63
"<!----><a ng-href=""/stats/player/78307/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/78307/""> Carlos Terry <!----> <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",Winston-Salem State,1978,5,16,104
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> James Reid <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Winston-Salem State,1967,5,10,53
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Don Lange <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",William & Mary,1959,5,8,38
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Uluss Thompson <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Wiley,1970,5,5,73
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Robert Gray <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Wichita State,1976,5,12,80
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ron Harris <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Wichita State,1972,5,16,79
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Cleo Littleton <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Ft. Wayne Zollner Pistons",Wichita State,1955,5,8,38
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Lou Skurcenski <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Westminster (PA),1964,5,4,38
"<!----><a ng-href=""/stats/player/76889/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76889/""> Paul Griffin <!----> <!---->","<a ng-href=""/stats/team/1610612762/"" href=""/stats/team/1610612762/"">New Orleans Jazz",Western Michigan,1976,5,6,74
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ernest Pettis <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Western Michigan,1972,5,4,67
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mike Odems <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Western Kentucky,1975,5,10,82
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Rip Gish <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",Western Kentucky,1951,5,7,46
"<!----><a ng-href=""/stats/player/78587/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/78587/""> Thomas Wilson <!----> <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Golden State Warriors",Western Carolina,1978,5,13,101
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Eddie Solomon <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Philadelphia Warriors",West Virginia Tech,1953,5,0,0
"<!----><a ng-href=""/stats/player/76129/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76129/""> Ed Beach <!----> <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Minneapolis Lakers",West Virginia,1950,5,0,0
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mike Mitchell <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",West Texas A&M,1969,5,10,67
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Troy Burris <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",West Texas A&M,1954,5,5,41
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Shawn Campbell <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Weber State,1985,5,9,102
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Keith Morrison <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Sacramento Kings",Washington State,1986,5,10,103
"<!----><a ng-href=""/stats/player/76534/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76534/""> Ron Davis <!----> <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Washington State,1976,5,2,70
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Theodore Werner <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",Washington State,1965,5,6,41
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Lee Marshall <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Washington & Lee,1957,5,5,37
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Paul Fortier <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Washington Bullets",Washington,1986,5,11,104
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Brad Watson <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Washington,1983,5,16,109
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Andra Griffin <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Washington,1981,5,7,99
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Larry Pounds <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Golden State Warriors",Washington,1975,5,15,87
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Gary Anderson <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Washington Bullets",Washington,1974,5,13,85
"<!----><a ng-href=""/stats/player/76607/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76607/""> Charles Dudley <!----> <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Golden State Warriors",Washington,1972,5,13,76
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tony Byers <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",Wake Forest,1974,5,9,81
"<!----><a ng-href=""/stats/player/77406/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/77406/""> Paul Long <!----> <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Wake Forest,1967,5,2,45
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ed Chaplin <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Voorhees,1968,5,4,54
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jack Jackson <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">San Francisco Warriors",Virginia Union,1962,5,7,41
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bruce Spraggins <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Philadelphia Warriors",Virginia Union,1961,5,6,47
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jeff Schneider <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Virginia Tech,1982,5,15,107
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Marshall Ashford <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Washington Bullets",Virginia Tech,1979,5,20,108
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Chris Ellis <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Virginia Tech,1969,5,5,62
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Glen Combs <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",Virginia Tech,1968,5,1,51
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Nicky Jones <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Virginia Commonwealth,1986,5,18,111
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mike Schlegel <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Virginia Commonwealth,1985,5,3,96
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ken Jones <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Virginia Commonwealth,1980,5,17,109
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Rich Jones <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Washington Bullets",Virginia Commonwealth,1975,5,18,90
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bill Langloh <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",Virginia,1977,5,12,100
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Herb Busch <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Virginia,1959,5,6,36
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Aaron Howard <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Villanova,1982,5,6,98
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Richie Moore <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Villanova,1965,5,5,40
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jack Devine <!---->","<a ng-href=""/stats/team/1610612744/"" href=""/stats/team/1610612744/"">Philadelphia Warriors",Villanova,1955,5,3,33
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Eli Pasquale <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Victoria (CAN),1984,5,13,106
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Glenn Clem <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Vanderbilt,1987,5,3,95
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mike Rhodes <!---->","<a ng-href=""/stats/team/1610612759/"" href=""/stats/team/1610612759/"">San Antonio Spurs",Vanderbilt,1981,5,18,110
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Terry Compton <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Kansas City-Omaha Kings",Vanderbilt,1974,5,6,78
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Perry Wallace <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Vanderbilt,1970,5,12,80
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Al Rochelle <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",Vanderbilt,1957,5,4,36
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Cornell Green <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Chicago Zephyrs",Utah State,1962,5,1,35
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tyrone Medley <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Utah,1974,5,7,79
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Kenneth Gardner <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Utah,1971,5,14,82
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> James Anderson <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Union (KY),1985,5,14,107
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> David Moss <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Tulsa,1987,5,17,109
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Teko Wynder <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Tulsa,1977,5,20,108
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bob Patterson <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",Tulsa,1955,5,4,34
"<!----><a ng-href=""/stats/player/76580/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76580/""> Earl Dodd <!----> <!---->","<a ng-href=""/stats/team/1610610034/"" href=""/stats/team/1610610034/"">St. Louis Bombers",Truman State,1949,5,0,0
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Roger Dickens <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Washington Bullets",Towson,1978,5,14,102
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jim Swaney <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Toledo,1980,5,21,113
"<!----><a ng-href=""/stats/player/77618/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/77618/""> Steve Mix <!----> <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Toledo,1969,5,4,61
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ray Wolford <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Toledo,1964,5,2,36
"<!----><a ng-href=""/stats/player/77200/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/77200/""> Larry Jones <!----> <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",Toledo,1963,5,8,43
"<!----><a ng-href=""/stats/player/76394/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76394/""> Cal Christensen <!----> <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Tri-Cities Blackhawks",Toledo,1950,5,0,0
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Rick Doyle <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Texas-San Antonio,1984,5,19,112
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Michael Edwards <!---->","<a ng-href=""/stats/team/1610612743/"" href=""/stats/team/1610612743/"">Denver Nuggets",Texas-Pan American,1978,5,18,106
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Terry White <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Texas-El Paso,1982,5,1,93
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Clarence Swannegan <!---->","<a ng-href=""/stats/team/1610612759/"" href=""/stats/team/1610612759/"">San Antonio Spurs",Texas Tech,1982,5,18,110
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> James Patrick <!---->","<a ng-href=""/stats/team/1610612743/"" href=""/stats/team/1610612743/"">Denver Nuggets",Texas State,1980,5,5,97
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bill Banks <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Minneapolis Lakers",Texas State,1955,5,6,36
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Carl Lott <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Texas Christian,1987,5,6,98
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Harry Kirchner <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Texas Christian,1959,5,1,31
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jimmy Gilbert <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Texas A&M,1986,5,5,98
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Kenny Brown <!---->","<a ng-href=""/stats/team/1610612743/"" href=""/stats/team/1610612743/"">Denver Nuggets",Texas A&M,1985,5,19,112
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tyren Naulls <!---->","<a ng-href=""/stats/team/1610612751/"" href=""/stats/team/1610612751/"">New Jersey Nets",Texas A&M,1983,5,17,110
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Randy Knowles <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Texas A&M,1974,5,16,88
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Beasley <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Texas A&M,1966,5,5,45
